Datum,CDU,SPD,Gruene,FDP,Linke,AfD,Sonstige,Nichtwaehler,Befragte,Zeitraum
14.05.14,0.4,0.24,0.1,0.04,0.1,0.06,0.06,32%,2.504,05.05._09.05.
07.05.14,0.41,0.23,0.1,0.04,0.1,0.05,0.07,32%,2.001,28.04._02.05.
29.04.14,0.41,0.24,0.1,0.04,0.09,0.06,0.06,31%,2.002,22.04._25.04.
23.04.14,0.41,0.24,0.1,0.04,0.1,0.05,0.06,_,2.002,14.04._17.04.
15.04.14,0.41,0.23,0.1,0.04,0.1,0.06,0.06,_,2.501,07.04._11.04.
09.04.14,0.42,0.23,0.1,0.04,0.1,0.05,0.06,_,2.502,31.03._04.04.
02.04.14,0.42,0.23,0.09,0.04,0.1,0.06,0.06,_,2.501,24.03._28.03.
26.03.14,0.41,0.23,0.1,0.04,0.1,0.05,0.07,_,2.502,17.03._21.03.
19.03.14,0.42,0.23,0.09,0.04,0.1,0.05,0.07,_,2.5,10.03._14.03.
12.03.14,0.42,0.23,0.09,0.04,0.1,0.05,0.07,_,2.503,03.03._07.03.
05.03.14,0.4,0.22,0.1,0.04,0.11,0.06,0.07,_,2.5,24.02._28.02.
26.02.14,0.41,0.22,0.1,0.05,0.1,0.05,0.07,_,2.502,17.02._21.02.
19.02.14,0.4,0.24,0.1,0.04,0.1,0.05,0.07,_,2.502,10.02._14.02.
12.02.14,0.41,0.24,0.1,0.04,0.1,0.04,0.07,_,2.502,03.02._07.02.
05.02.14,0.42,0.24,0.1,0.04,0.09,0.04,0.07,_,2.501,27.01._31.01.
29.01.14,0.42,0.23,0.11,0.04,0.09,0.04,0.07,_,2.503,20.01._24.01.
22.01.14,0.41,0.23,0.1,0.05,0.1,0.04,0.07,_,2.502,13.01._17.01.
15.01.14,0.4,0.23,0.1,0.05,0.1,0.05,0.07,_,2.503,06.01._10.01.
08.01.14,0.41,0.23,0.1,0.05,0.1,0.05,0.06,_,1.003,02.01._03.01.
01.01.14,0.42,0.24,0.1,0.05,0.1,0.04,0.05,_,2.508,16.12._20.12.
17.12.13,0.42,0.24,0.09,0.04,0.1,0.05,0.06,_,2.505,09.12._13.12.
